iter	Passed	Remaining
648	18695	10111
649	18725	10082
650	18751	10052
651	18778	10023
652	18807	9994
653	18831	9962
654	18857	9932
655	18881	9901
656	18909	9872
657	18935	9841
658	18962	9811
659	18989	9782
660	19015	9752
661	19040	9721
662	19070	9693
663	19097	9663
664	19125	9634
665	19153	9605
666	19181	9576
667	19210	9547
668	19235	9516
669	19259	9486
670	19283	9454
671	19314	9427
672	19338	9396
673	19363	9365
674	19389	9335
675	19419	9307
676	19445	9277
677	19475	9249
678	19499	9218
679	19524	9187
680	19547	9156
681	19576	9127
682	19605	9099
683	19636	9071
684	19664	9042
685	19694	9014
686	19721	8985
687	19746	8954
688	19771	8924
689	19798	8894
690	19828	8866
691	19858	8838
692	19885	8809
693	19914	8780
694	19940	8750
695	19968	8721
696	19995	8692
697	20018	8661
698	20047	8632
699	20072	8602
700	20097	8572
701	20129	8545
702	20156	8515
703	20190	8489
704	20215	8458
705	20245	8430
706	20268	8399
707	20292	8369
708	20318	8339
709	20346	8310
710	20376	8282
711	20405	8253
712	20431	8224
713	20457	8194
714	20489	8167
715	20516	8137
716	20543	8108
717	20574	8080
718	20598	8050
719	20627	8021
720	20662	7995
721	20687	7965
722	20712	7935
723	20741	7907
724	20773	7879
725	20798	7849
726	20825	7820
727	20850	7790
728	20878	7761
729	20907	7732
730	20943	7706
731	20987	7683
732	21013	7654
733	21043	7625
734	21066	7595
735	21089	7564
736	21116	7535
737	21141	7505
738	21169	7476
739	21195	7447
740	21224	7418
741	21249	7388
742	21279	7360
743	21316	7334
744	21344	7305
745	21372	7276
746	21395	7246
747	21423	7217
748	21452	7189
749	21481	7160
750	21505	7130
751	21527	7099
752	21558	7071
753	21586	7042
754	21616	7014
755	21650	6987
756	21679	6959
757	21707	6930
758	21734	6901
759	21759	6871
760	21789	6843
761	21819	6814
762	21845	6785
763	21875	6757
764	21905	6729
765	21942	6702
766	21971	6674
767	22001	6646
768	22025	6616
769	22054	6587
770	22090	6561
771	22118	6532
772	22149	6504
773	22175	6475
774	22201	6445
775	22226	6415
